,batch_size,learning_coef,epochs,cost_func,optimizer,kernel_size,pool_size,pooling,acc,f1,loss,time
0,100,0.001,10,SparseCategoricalCrossentropy,Adam,"(7, 7)","(4, 4)",MaxPooling2D,0.6749,0.6749,0.6973705887794495,726.0645280000001
0,100,0.001,10,SparseCategoricalCrossentropy,Adam,"(5, 5)","(4, 4)",MaxPooling2D,0.6755,0.6755,0.6559387445449829,713.3608019999999
0,100,0.001,10,SparseCategoricalCrossentropy,Adam,"(3, 3)","(4, 4)",MaxPooling2D,0.7556,0.7556,0.4006483852863312,690.874514
0,100,0.001,10,SparseCategoricalCrossentropy,Adam,"(7, 7)","(3, 3)",MaxPooling2D,0.6456,0.6456,0.9566416144371033,708.785541
0,100,0.001,10,SparseCategoricalCrossentropy,Adam,"(5, 5)","(3, 3)",MaxPooling2D,0.7165,0.7165000000000001,0.4726189076900482,701.999151
0,100,0.001,10,SparseCategoricalCrossentropy,Adam,"(3, 3)","(3, 3)",MaxPooling2D,0.7166,0.7166,0.4217160940170288,670.959375
0,100,0.001,10,SparseCategoricalCrossentropy,Adam,"(7, 7)","(2, 2)",MaxPooling2D,0.6188,0.6188,0.8021842241287231,765.866806
0,100,0.001,10,SparseCategoricalCrossentropy,Adam,"(5, 5)","(2, 2)",MaxPooling2D,0.6817,0.6817,0.37800684571266174,768.5199570000001
0,100,0.001,10,SparseCategoricalCrossentropy,Adam,"(3, 3)","(2, 2)",MaxPooling2D,0.7097,0.7097,0.49647057056427,755.402206
0,100,0.001,10,SparseCategoricalCrossentropy,Adam,"(7, 7)","(4, 4)",AveragePooling2D,0.5961,0.5961,0.9575554132461548,752.213024
0,100,0.001,10,SparseCategoricalCrossentropy,Adam,"(5, 5)","(4, 4)",AveragePooling2D,0.6619,0.6619,0.8291727304458618,746.88372
0,100,0.001,10,SparseCategoricalCrossentropy,Adam,"(3, 3)","(4, 4)",AveragePooling2D,0.7216,0.7216,0.6774022579193115,724.448437
0,100,0.001,10,SparseCategoricalCrossentropy,Adam,"(7, 7)","(3, 3)",AveragePooling2D,0.6093,0.6093,0.9108340740203857,735.4550650000001
0,100,0.001,10,SparseCategoricalCrossentropy,Adam,"(5, 5)","(3, 3)",AveragePooling2D,0.6951,0.6951,0.6558868885040283,730.3837739999999
0,100,0.001,10,SparseCategoricalCrossentropy,Adam,"(3, 3)","(3, 3)",AveragePooling2D,0.6883,0.6883,0.6814132928848267,696.821857
0,100,0.001,10,SparseCategoricalCrossentropy,Adam,"(7, 7)","(2, 2)",AveragePooling2D,0.6265,0.6265,0.8607365489006042,754.777172
0,100,0.001,10,SparseCategoricalCrossentropy,Adam,"(5, 5)","(2, 2)",AveragePooling2D,0.6976,0.6976,0.33407533168792725,754.262141
0,100,0.001,10,SparseCategoricalCrossentropy,Adam,"(3, 3)","(2, 2)",AveragePooling2D,0.7003,0.7003,0.29891902208328247,739.561301
